SEGMENT_ID,SPEED,DIRECTION,LENGTH,STREET_HEADING,START_LONGITUDE,START_LATITUDE,END_LONGITUDE,END_LATITUDE,Temperature (F),Dew Point (F),Humidity (%),Wind Direction,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation Hourly (in),Condition,Month,HOUR,DAY_OF_WEEK
548,-1,WB,0.5,W,-87.7150028281,41.8517758038,-87.7248539636,41.8517295572,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
549,-1,WB,0.2,W,-87.7111548786,41.8521395327,-87.7150028281,41.8517758038,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
550,-1,WB,0.29,W,-87.7052158636,41.852019272,-87.7108753815,41.8517829108,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
551,-1,WB,0.5,W,-87.695431287,41.852014774,-87.7052158636,41.852019272,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
552,-1,WB,0.5,W,-87.6856447314,41.8522071469,-87.695431287,41.852014774,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
553,-1,WB,0.5,W,-87.6758591402,41.852299832,-87.6856447314,41.8522071469,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
554,-1,WB,0.51,W,-87.6659402856,41.8524897709,-87.6758591402,41.852299832,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
555,-1,WB,0.5,W,-87.6561800466,41.8526797855,-87.6659402856,41.8524897709,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
556,-1,WB,0.5,W,-87.646459951,41.852819781,-87.6561800466,41.8526797855,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
557,-1,WB,0.49,W,-87.6369249316,41.8529600788,-87.646459951,41.852819781,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
558,-1,WB,0.5,E,-87.6270517604,41.8529986469,-87.6369249316,41.8529600788,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
559,-1,WB,0.31,E,-87.6194481677,41.8530504929,-87.623818,41.852991,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
560,-1,WB,0.07,E,-87.623818,41.852991,-87.6270517604,41.8529986469,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
561,-1,NB,0.51,S,-87.740896845,41.7345704712,-87.7408287557,41.7419784502,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
562,-1,NB,0.5,S,-87.7408287557,41.7419784502,-87.7412632413,41.7492014587,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
563,-1,NB,0.88,S,-87.7412632413,41.7492014587,-87.741598945,41.7618981214,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
564,-1,NB,0.64,S,-87.741598945,41.7618981214,-87.7418663731,41.7711254297,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
565,-1,NB,0.5,S,-87.7418663731,41.7711254297,-87.7421146239,41.7784097411,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
566,-1,NB,0.41,S,-87.7421146239,41.7784097411,-87.7412259766,41.7843170707,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
567,-1,NB,0.6,S,-87.7412259766,41.7843170707,-87.7417947979,41.793035195,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
568,-1,NB,0.51,S,-87.7417947979,41.793035195,-87.7428033166,41.8003400449,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
569,-1,NB,0.5,S,-87.7428033166,41.8003400449,-87.7429589865,41.8076266165,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
570,-1,NB,0.5,S,-87.7429589865,41.8076266165,-87.7431516294,41.8149300238,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
571,-1,NB,0.49,S,-87.7431516294,41.8149300238,-87.7433645658,41.8220475654,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
572,-1,NB,0.5,S,-87.7445766986,41.8659068958,-87.7448074201,41.8731382595,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
573,-1,NB,0.51,S,-87.7448074201,41.8731382595,-87.7450741768,41.8804946946,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
574,-1,NB,0.51,S,-87.7450741768,41.8804946946,-87.7453403489,41.8879205051,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
575,-1,NB,0.49,N,-87.7453403489,41.8879205051,-87.7456284502,41.8949856048,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
576,-1,NB,0.51,N,-87.7456284502,41.8949856048,-87.7458024865,41.9023415361,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
577,-1,NB,0.5,N,-87.7458024865,41.9023415361,-87.7459028831,41.9096276932,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
578,-1,NW,0.53,S,-87.5886173859,41.8109426802,-87.5949089327,41.8169468056,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
579,-1,NW,0.64,S,-87.5946895061,41.816935359,-87.6001924641,41.8252971863,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
580,-1,NW,1.0,S,-87.6001924641,41.8252971863,-87.6081678831,41.838571746,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
581,-1,NW,0.75,S,-87.6081678831,41.838571746,-87.6124560681,41.848976339,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
582,-1,NW,0.65,S,-87.6124560681,41.848976339,-87.6164188659,41.8579604705,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
583,-1,NW,0.67,S,-87.6164188659,41.8579604705,-87.6186711362,41.8674650997,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
584,-1,NE,0.41,N,-87.6186711362,41.8674650997,-87.6171289792,41.8732552139,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
586,-1,NB,0.53,S,-87.61712898,41.87325521,-87.61730448,41.88091652,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
587,-1,NE,0.3,N,-87.6173044795,41.8809165183,-87.6138613722,41.8843876871,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
589,-1,NB,0.51,N,-87.61386137,41.88438769,-87.61390637,41.8918983,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
591,-1,NW,0.69,N,-87.61390637,41.8918983,-87.61952598,41.90097877,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
592,-1,NW,0.32,N,-87.6195259779,41.9009787676,-87.6242873281,41.9039960653,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
593,-1,NW,0.51,N,-87.6242873281,41.9039960653,-87.6257810568,41.9113301795,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
594,-1,NW,1.05,N,-87.6257810568,41.9113301795,-87.6310264345,41.9260827378,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
595,-1,NB,0.51,N,-87.6310264345,41.9260827378,-87.6318545747,41.9334256266,42,29,60,CALM,0,,29.31,0.0,Mostly Cloudy,4,22,4
